sensor_addr,total
42d66883f2f7bec0,22478
b7ef004a0db543d8,2460
d15fa2cc04a41cc5,920
22d15ebc9c8da378,846
7d8aa396190cc231,417
e273b5c71c557227,2745
5c0ce6297f13f98d,1006
578f9c72ac05fa55,6656
3d263811b5347cf1,618
f3d1627b4490039a,503
0e1f6afeb9cf87f9,4370
3603180f0c2fad89,1004
044db397146b4497,3412
cfa90ead5893ac6d,1446
76082d476c2b2aa6,587
12d286c1ce6c1a1a,302
d006e7ad7e9e7c41,432
1d4277874a78d840,1215
22df23e314a79ea2,1195
fa94e727ee7ad083,2121
f53b0e0abd701380,335
bdcbb2450902efb0,1090
408148275a6eb193,2693
80d332b5fe2a5fb7,2542
32eae3bdf5862593,36
7de50d6cc939c7ae,770
7ea402ac9bf01d9b,1530
a2b5051c78ab6c68,689
038d05a43bbede71,1120
dbc068a107eb5ad2,172
